scenarios
Program,Stage,Phase,Scenario,Mission Code,Mission Description
2,1,1,2,4-1-2,Basic Multi-Crew Operations - (1.0h SE/FSTD)
2,1,1,3,4-1-3,Borrego Valley - L08 (DR VFR Navigation - MCC/Man) with SP - (1.5h PIC)
2,1,1,4,4-1-4,Borrego Valley - L08 (DR VFR Navigation - MCC/Man) - (3.0h PIC)
2,1,1,5,4-1-5,Basic Multi-Crew Operations and AFCS use Part I - (1.5h SE/FSTD)
2,1,1,6,4-1-6,Basic Multi-Crew Operations and AFCS use Part II - (1.5h SE/FSTD)
2,1,1,7,4-1-7,Hemet Ryan - HMT (Radio Navigation - MCC) with SP - (1.5h PIC)
2,1,1,8,4-1-8,Hemet Ryan - HMT (Radio Navigation - MCC) - (1.5h PIC)
2,1,1,9,4-1-9,Apple Valley - APV (Radio Navigation - MCC) - (3.0h PIC)
2,1,1,10,4-1-10,Lake Havasu - HII (Radio Navigation - MCC) - (3.0h PIC)
2,1,1,11,4-1-11,TRM - TNP - BLH - L08 - TRM (Radio Navigation - MCC) - (4.0h PIC)
2,1,1,12,4-1-12,Big Bear - L35 (Radio Navigation) with SP - (2.0h PIC)
2,2,1,1,5-1-1,Towered Airports Review - (1.0h LB)
2,2,1,2,5-1-2,Basic Multi-Crew Operations AFCS use - (1.0h SE/FSTD)
2,2,1,3,5-1-3,Ontario - ONT (Radio Navigation - MCC) with SP - (1.5h PIC)
2,2,1,4,5-1-4,Victorville - VCV (Radio Navigation - MCC) - (4.0h PIC)
2,2,1,5,5-1-5,Yuma - NYL (Radio Navigation - MCC) - (3.0h PIC)
2,2,1,6,5-1-6,Mojave - MHV (Radio Navigation - MCC) - (4.0h PIC)
2,2,1,7,5-1-7,Carlsbad - CRQ (Radio Navigation - MCC) - (3.0h PIC)
2,2,1,8,5-1-8,Ontario - ONT (Radio Navigation - MCC) - (3.0h PIC)
2,2,1,9,5-1-9,Catalina - AVX (Radio Navigation - MCC) with SP - (4.0h PIC)
2,2,1,10,5-1-10,Torrance - TOA (Radio Navigation - MCC) - (3.0h PIC)
2,2,1,11,5-1-11,Long Beach - LGB (Radio Navigation - MCC) - (3.0h PIC)
2,3,1,1,6-1-1,Class B Airspace Review - (1.0h LB)
2,3,1,2,6-1-2,Burbank - BUR (Radio Navigation - MCC/AFCS) with SP - (2.0h PIC)
2,3,1,3,6-1-3,San Diego Tour (Radio Navigation - MCC/AFCS) - (5.0h PIC)
2,3,1,4,6-1-4,Burbank - BUR (Radio Navigation - MCC/AFCS) - (4.0h PIC)
2,3,1,5,6-1-5,Las Vegas - HND (Radio Navigation - MCC/AFCS) with SP - (2.0h PIC)
2,4,1,1,7-1-1,Long Distance Navigation - (1.0h LB)
2,4,1,2,7-1-2,Oxnard - OXR (Radio Navigation - MCC/AFCS) - (4.0h PIC)
2,4,1,3,7-1-3,300 NM - Needles & Henderson - EED HND - (Radio Navigation - MCC/AFCS) - (4.5h PIC)
2,4,1,4,7-1-4,Grand Canyon Tour (Radio Navigation - MCC/AFCS) with SP - (3.5h PIC)
2,4,1,5,7-1-5,Final Progress Check John Wayne - SNA  (Radio Navigation - MCC/AFCS) with SP - (2.0h PIC)
2,4,1,6,7-1-6,EASA Night Patterns - (1.0h DUAL/1.0h NIGHT)
2,4,1,7,7-1-7,EASA Solo Night Patterns - (1.0h PIC/1.0h NIGHT)
2,4,1,8,7-1-8,Extra Experience Building Mission(s)
